date,open,volume,macd,macd_histogram,rsi_14,bb_width,true_range,volume_sma_20,volume_ratio,momentum_10,momentum_20,volatility_20,future_return_5d,trend_label
2021-01-04,158.09,962644.0,0.0,0.0,50.64015254698992,12.128946498269473,2.8799999999999955,962644.0,1.0,0.0019237495627841,0.0038666022232962,0.0229790191858681,0.0263568796452438,2
2021-01-04,151.44,963623.0,0.0,0.0,50.64015254698992,12.128946498269473,4.889999999999986,963623.0,1.0,0.0019237495627841,0.0038666022232962,0.0229790191858681,-0.0328289473684211,0
2021-01-04,89.08,1491126.0,0.0,0.0,50.64015254698992,12.128946498269473,2.4499999999999886,1491126.0,1.0,0.0019237495627841,0.0038666022232962,0.0229790191858681,-0.0115942028985507,1
2021-01-04,84.61,954683.0,0.0,0.0,50.64015254698992,12.128946498269473,2.3499999999999943,954683.0,1.0,0.0019237495627841,0.0038666022232962,0.0229790191858681,0.0320931891120884,2
2021-01-04,76.13,947006.0,0.0,0.0,50.64015254698992,12.128946498269473,1.7999999999999972,947006.0,1.0,0.0019237495627841,0.0038666022232962,0.0229790191858681,0.008067664281067,1
2021-01-04,89.51,1249367.0,0.0,0.0,50.64015254698992,12.128946498269473,4.699999999999989,1249367.0,1.0,0.0019237495627841,0.0038666022232962,0.0229790191858681,-0.0035407725321888,1
2021-01-04,81.88,1239249.0,0.0,0.0,50.64015254698992,12.128946498269473,0.8699999999999903,1239249.0,1.0,0.0019237495627841,0.0038666022232962,0.0229790191858681,-0.0133365961091398,1
2021-01-04,84.72,1038609.0,0.0,0.0,50.64015254698992,12.128946498269473,2.760000000000005,1038609.0,1.0,0.0019237495627841,0.0038666022232962,0.0229790191858681,0.0149910767400357,1
2021-01-04,174.11,1541580.0,0.0,0.0,50.64015254698992,12.128946498269473,5.819999999999993,1541580.0,1.0,0.0019237495627841,0.0038666022232962,0.0229790191858681,-0.0263884097964815,0
2021-01-04,99.08,1578011.0,0.0,0.0,50.64015254698992,12.128946498269473,2.450000000000003,1578011.0,1.0,0.0019237495627841,0.0038666022232962,0.0229790191858681,0.0016127406511441,1
2021-01-04,67.43,885470.0,0.0,0.0,50.64015254698992,12.128946498269473,0.6500000000000057,885470.0,1.0,0.0019237495627841,0.0038666022232962,0.0229790191858681,0.0240083507306889,2
